"","valor_beta","valor_muB","valor_muE","valor_muI","valor_rho","maximo","tiempo_maximo","tiempo_mayor_infectados","parasitemia_en_valor_maximo"
"220",73.545,13.29,15.575,46.53,52.52,867389056.779993,0.002,0.002,100
"221",13.6,62.885,97.21,81.245,58.44,829142179.974378,0.001,0.001,100
"222",17.07,52.955,58.2,36.03,56.565,786347799.577271,0.003,0.002,100
"223",11.965,35.405,83.25,65.64,10.675,527067320.786716,0.007,0.006,100
"224",76.65,9.49,75.01,85.185,32.025,777631268.935468,0.002,0.002,100
"225",24.745,82.125,53.19,36.735,13.32,582730027.866459,0.009,0.008,100
"226",33.72,73.935,61.355,12.665,56.21,663823024.977553,0.006,0.006,98.8130035499199
"227",72.22,56.065,93.095,82.975,8.865,501799100.401833,0.006,0.006,95.1681118689508
"228",3.415,74.605,78.62,54.785,43.335,787465761.827217,0.002,0.002,100
"229",43.905,97.43,98.44,78.485,25.32,NA,NA,0.002,NA
"230",53.52,25.075,21.065,64.65,20.555,791330081.377018,0.004,0.003,100
"231",27.735,41.86,26.475,50.16,20.035,770753380.746286,0.005,0.004,100
"232",16.97,98.525,91.615,58.44,63.715,784797179.666507,0.002,0.002,100
"233",52.07,94.73,54.045,67.77,54.175,805217757.788763,0.002,0.002,100
"234",0.83,10.155,87.14,81.795,61.25,835387431.418858,0.001,0.001,100
"235",46.415,33.085,55.285,1.22,88.745,254931450.759158,0.031,0.025,100
"236",64.925,19.1,98.01,70.725,84.65,834415690.218359,0.001,0.001,100
"237",17.42,13.745,59.915,89.44,4.705,404717838.585702,0.012,0.01,100
"238",60.265,78.69,57.12,26.015,72.835,795038846.958605,0.003,0.002,100
"239",16.14,79.44,47.13,56.39,86.37,865893184.556232,0.001,0.001,100
"240",8.95,31.85,71.615,47.64,89.565,811164711.14496,0.002,0.001,100
"241",25.425,75.925,28.045,57.23,49.815,841645190.220404,0.002,0.002,100
"242",29.305,90.355,64.95,79.05,29.65,793649157.222072,0.002,0.002,100
"243",12.635,1.715,10.515,38.665,27.675,824616056.805809,0.005,0.004,100
"244",56.89,76.49,24.235,8.805,39.235,697496297.354441,0.013,0.011,100
"245",41.165,80.87,35.43,89,33.36,812399177.391599,0.002,0.002,100
"246",23.855,24.565,67.31,64.53,41.235,796883452.311103,0.002,0.002,100
"247",32.935,15.33,73.895,88.375,42.365,773063052.465633,0.002,0.002,100
"248",58.03,17,51,6.91,67.325,623710681.449693,0.01,0.008,100
"249",15.055,68.995,40.21,80.905,3.86,405378294.195268,0.016,0.014,96.9169372729012
"250",36.4,72.51,81.985,30.76,88.48,801668927.367385,0.002,0.002,100
"251",7.49,40.875,2.71,68.33,4.11,651516529.20057,0.02,0.018,100
