"","V1","V2","V3","V4","V5","V6"
"195","beta",19.4,851942002.652585,0.073,0.062,2.4502965717195e+21
"196","beta",19.5,851942004.477602,0.073,0.062,329141902037483136
"197","beta",19.6,851941998.975834,0.073,0.062,1.5963844461491e+21
"198","beta",19.7,851941918.79248,0.073,0.062,254587872758814304
"199","beta",19.8,851941827.359244,0.073,0.062,1.82486691200076e+21
"200","beta",19.9,851941798.320143,0.073,0.062,841265931860356608
"201","beta",20,851941855.915918,0.073,0.062,882416073418258816
"202","beta",20.1,851942006.89161,0.073,0.062,-174814195481940000
"203","beta",20.2,851942005.163964,0.073,0.062,2.04590510015575e+21
"204","beta",20.3,851942007.896876,0.073,0.062,9445355271340949504
"205","beta",20.4,851942009.117187,0.073,0.062,3070527585518121984
"206","beta",20.5,851942007.283128,0.073,0.062,2.38638539225186e+21
"207","beta",20.6,851942007.948804,0.073,0.062,3565716276754106880
"208","beta",20.7,851942001.490679,0.073,0.062,493274493996821184
"209","beta",20.8,851942006.816653,0.073,0.062,509520676434848192
"210","beta",20.9,851942010.309563,0.073,0.062,-687258042472886784
"211","beta",21,851942007.787315,0.073,0.062,1285598797173683200
"212","beta",21.1,851942008.42829,0.073,0.062,-47170040164419805184
"213","beta",21.2,851942008.822635,0.073,0.062,-454604939119613824
"214","beta",21.3,851942009.295429,0.073,0.062,-10417314612745089024
"215","beta",21.4,851942009.37028,0.073,0.062,-682137437915710592
"216","beta",21.5,851942010.180657,0.073,0.062,8.38042928885883e+20
"217","beta",21.6,851942010.199231,0.073,0.062,-1483836015409072384
"218","beta",21.7,851942013.652548,0.073,0.062,9.45781742335321e+20
"219","beta",21.8,851942013.077346,0.073,0.062,553898051266767424
"220","beta",21.9,851942014.506329,0.073,0.062,1097459593328895360
"221","beta",22,851942016.651427,0.073,0.062,1.00711906234349e+21
"222","beta",22.1,851942016.888264,0.073,0.062,722843437749899520
"223","beta",22.2,851942017.433792,0.073,0.062,-249844816954180992
"224","beta",22.3,851942017.708232,0.073,0.062,731673010885087488
"225","beta",22.4,851942018.208759,0.073,0.062,-126829879305651056
"226","beta",22.5,851942012.611558,0.073,0.062,651944171484158976
"227","beta",22.6,851942013.37598,0.073,0.062,3789236481032728064
"228","beta",22.7,851942017.602617,0.073,0.062,666228761911044608
"229","beta",22.8,851942015.208754,0.073,0.062,4231073278964475904
"230","beta",22.9,851942019.601767,0.073,0.062,8.88769153533791e+21
"231","beta",23,851942019.739476,0.073,0.062,688384042253524736
"232","beta",23.1,851942020.105408,0.073,0.062,1702357290828945920
"233","beta",23.2,851942015.756424,0.073,0.062,826483708843855488
"234","beta",23.3,851942020.998272,0.073,0.062,-291695594550512192
"235","beta",23.4,851942016.793081,0.073,0.062,-718714223958105216
"236","beta",23.5,851942021.266792,0.073,0.062,845291595045374464
"237","beta",23.6,851942019.959383,0.073,0.062,-138962043523833952
"238","beta",23.7,851942020.028921,0.073,0.062,702069467814818560
"239","beta",23.8,851942021.370139,0.073,0.062,4.47158960927015e+20
"240","beta",23.9,851942017.962422,0.073,0.062,-11165503225379799040
"241","beta",24,851942022.470308,0.073,0.062,3855549107390989824
"242","beta",24.1,851942019.520793,0.073,0.062,3.35163803418607e+20
"243","beta",24.2,851942022.630519,0.073,0.062,-118436889111193856
"244","beta",24.3,851942020.324573,0.073,0.062,3469225034624481280
"245","beta",24.4,851942013.071512,0.073,0.062,845971057481247232
"246","beta",24.5,851942018.175596,0.073,0.062,791178157150089088
"247","beta",24.6,851942022.085777,0.073,0.062,835707774238922880
"248","beta",24.7,851942021.29508,0.073,0.062,-1.93738643891844e+20
"249","beta",24.8,851942021.984221,0.073,0.062,5.38153848176404e+20
"250","beta",24.9,851942021.866404,0.073,0.062,5.2538149418414e+20
"251","beta",25,851941923.235931,0.073,0.062,-81172396848419782656
"252",NA,NA,NA,NA,NA,NA
"253","muB",0,677557986.52038,0.211,0.157,1985.48505912735
"254","muB",0.1,677288059.32702,0.211,0.158,1944.00021786349
"255","muB",0.2,677008913.167649,0.211,0.158,1903.65663976308
"256","muB",0.3,676720525.803584,0.211,0.158,1864.41647990087
"257","muB",0.4,676448507.810233,0.212,0.158,1971.73638513123
"258","muB",0.5,676179609.694407,0.212,0.158,1930.7213684697
"259","muB",0.6,675901535.703924,0.212,0.158,1890.83004118184
"260","muB",0.7,675614264.081467,0.212,0.159,1852.02528604727
"261","muB",0.8,675334287.16158,0.213,0.159,1957.24645005917
"262","muB",0.9,675066235.536977,0.213,0.159,1916.71972016469
"263","muB",1,674789050.581905,0.213,0.159,1877.29855272436
"264","muB",1.1,674502711.297776,0.213,0.159,1838.94659253412
"265","muB",1.2,674215467.999769,0.214,0.159,1942.05704639021
"266","muB",1.3,673948085.150717,0.214,0.16,1902.0356081923
"267","muB",1.4,673671611.515433,0.214,0.16,1863.10114228853
"268","muB",1.5,673386026.292463,0.214,0.16,1825.21803381195
"269","muB",1.6,673092180.97937,0.215,0.16,1926.20983360317
